104;Peas;24;150;25,92;1;0,42;3,92;13,21;0,34;8,64;7,9;8,94;8,38;71,72;73,7;80,14;75,19;1,36;0,64;1,41;1,89;726,49;57,8;12,6;9,52;0,85;14,34;8,29;1,05;2,88;0,74;0,23;0,69;42,35;105,77;18,32;18,32;5,11;84,41;661,6
104;Peas;16;150;8,64;2;0,44;3,88;14,2;0,33;8,42;8,46;9;8,9;72,92;69,5;80,92;74,45;1,42;0,61;1,2;1,91;533,88;60,43;10,9;11,43;0,72;9,43;8,3;0,94;2,62;0,52;0,21;0,58;31,95;99,95;17,31;16,52;4,65;78,06;574,42
104;Peas;24;300;12,96;2;0,43;3,65;11,47;0,35;9,54;8,94;8,14;8,54;67,74;71,5;71,04;70,09;1,59;0,74;1,69;2,21;501,96;78,24;14,5;9,22;1,16;28,2;7,66;0,94;2,68;0,79;0,24;0,64;38,26;107,13;18,21;17,9;5,59;81,51;658,48
104;Peas;16;300;17,28;2;0,49;3,55;11,91;0,32;9,07;12,24;8,76;8,6;66,16;67,82;70,3;68,09;1,74;0,71;1,34;2,31;743,64;63,41;12,9;8,97;1,06;18,98;8,23;1,03;2,86;0,7;0,24;0,71;41,32;106,97;18,65;18,01;5,13;83,92;657,35
104;Peas;24;150;25,92;2;0,42;4;13,23;0,35;8,78;8,18;7,68;9,08;73,12;77,32;79,92;76,79;0,91;0,63;1,54;1,47;836,34;61,31;12,2;14,32;0,78;14,34;8,27;1,01;2,81;0,7;0,23;0,68;39,87;104,97;18,39;18,12;5,56;83,26;620,96
105;Peas;16;150;8,64;3;0,41;3,63;13,16;0,31;8,46;8,6;7,88;8,26;70,9;70,64;67,42;69,65;1,18;0,67;1,26;1,75;524,68;48,85;10,4;10,19;0,53;10,15;8,43;1,07;2,86;0,51;0,21;0,64;32,57;104,13;18,61;18,53;5,21;81,14;556,77
105;Peas;24;300;12,96;3;0,37;3,45;10,81;0,33;9,46;8,1;7,08;6,92;65,52;68,1;65,04;66,22;1,36;0,55;1,45;1,8;535,25;82,1;17;11,24;1,3;33,18;7,8;0,98;2,66;0,6;0,21;0,64;30,58;101,33;18,49;16,93;6,63;79,95;591,92
105;Peas;16;300;17,28;3;0,4;3,08;11,17;0,29;9,29;8,16;8,12;7,58;57,72;62,24;57,24;59,07;1,16;0,58;1,3;1,65;550,22;69,82;13,1;7,48;1,19;20,38;8,33;1,05;2,9;0,56;0,22;0,64;31,89;104,85;19,72;17,94;5,78;80,62;638,71
105;Peas;24;150;25,92;3;0,4;3,27;11,69;0,3;9,21;7,4;8,3;8,06;60,58;65,3;62,26;62,71;1,14;0,57;1,33;1,62;477,22;67,45;13,6;10,51;1,12;18,49;8,09;1,01;2,81;0,54;0,2;0,62;31,52;101,57;18,14;17,61;4,85;79,36;538,82
105;Peas;16;150;8,64;4;0,41;3,8;12,84;0,32;8,37;8,16;7,62;8,82;72,88;72,44;73,46;72,93;1,15;0,55;1,21;1,61;616,72;48,94;10,1;8;0,57;10,15;8,36;1,28;3,5;0,65;0,25;0,79;40,21;127,71;22,3;23,09;5,45;98,39;679,61
105;Peas;24;300;12,96;4;0,42;3,57;11,27;0,34;9,41;8,36;8,66;8;68,62;66,48;70,78;68,63;1,19;0,59;1,44;1,69;558,09;83,85;16,2;11,82;1,02;33,18;7,8;1;2,69;0,7;0,22;0,67;34,01;97,86;18,28;17,49;5,35;78,61;655,26
105;Peas;16;300;17,28;4;0,38;3,18;11,12;0,29;9,17;8,52;7,22;7,08;59,74;61,16;62,5;61,13;1,27;0,59;1,35;1,77;642,12;65,87;13,4;7,34;1,15;20,38;8,27;1,05;2,96;0,61;0,22;0,64;34,4;99,84;19,2;18,7;5,27;80,58;650,56
105;Peas;24;150;25,92;4;0,39;3,3;11,34;0,3;9,11;7,8;8,06;7,4;65,18;63,84;61,04;63,35;1,1;0,54;1,28;1,55;518,33;64,2;14,5;8,32;1,01;18,49;8,15;1,04;2,77;0,57;0,21;0,62;32,32;99,08;18,02;18,67;4,82;78,43;542,11

